alimento,porcao_gramas,calorias,proteinas,carboidratos,gorduras
Arroz integral cozido,100,123.53,2.59,0.46,1.0
Arroz integral cru,100,359.68,7.32,1.18,1.86
Arroz tipo 1 cozido,100,128.26,2.52,0.08,0.23
Arroz tipo 1 cru,100,357.79,7.16,0.52,0.34
Arroz tipo 2 cozido,100,130.12,2.57,0.15,0.36
Arroz tipo 2 cru,100,358.12,7.24,0.44,0.28
Aveia flocos crua,100,393.82,13.92,1.81,8.5
Biscoito doce maisena,100,442.82,8.07,1.51,11.97
Biscoito doce recheado com chocolate,100,471.82,6.4,1.29,19.58
Biscoito doce recheado com morango,100,471.17,5.72,0.96,19.57
Biscoito doce wafer recheado de chocolate,100,502.46,5.56,1.06,24.67
Biscoito doce wafer recheado de morango,100,513.45,4.52,0.56,26.4
Biscoito salgado cream cracker,100,431.73,10.06,2.72,14.44
Bolo mistura para,100,418.63,6.16,2.0,6.13
Bolo pronto aipim,100,323.85,4.42,0.84,12.75
Bolo pronto chocolate,100,410.01,6.22,1.31,18.47
Bolo pronto coco,100,333.44,5.67,1.44,11.3
Bolo pronto milho,100,311.39,4.8,0.98,12.42
Canjica branca crua,100,357.6,7.2,0.21,0.97
Canjica com leite integral,100,112.46,2.36,0.27,1.24
Cereais milho flocos com sal,100,369.6,7.29,0.98,1.6
Cereais milho flocos sem sal,100,363.34,6.88,0.27,1.18
Cereais mingau milho infantil,100,394.43,6.43,0.51,1.09
Cereais mistura para vitamina trigo cevada e aveia,100,381.13,8.9,3.0,2.12
Cereal matinal milho,100,365.35,7.16,2.54,0.96
Cereal matinal milho acucar,100,376.56,4.74,1.48,0.67
Creme de arroz po,100,386.0,7.03,0.54,1.23
Creme de milho po,100,333.03,4.82,1.74,1.64
Curau milho verde,100,78.43,2.36,0.49,1.64
Curau milho verde mistura para,100,402.29,2.22,0.67,13.37
Farinha de arroz enriquecida,100,363.06,1.27,0.23,0.3
Farinha de centeio integral,100,335.78,12.52,1.66,1.75
Farinha de milho amarela,100,350.59,7.19,0.49,1.47
Farinha de rosca,100,370.58,11.38,1.56,1.46
Farinha de trigo,100,360.47,9.79,0.77,1.37
Farinha lactea de cereais,100,414.85,11.88,1.86,5.79
Lasanha massa fresca cozida,100,163.76,5.81,0.86,1.16
Lasanha massa fresca crua,100,220.31,7.01,1.61,1.34
Macarrao instantaneo,100,435.86,8.79,5.57,17.24
Macarrao trigo cru,100,371.12,10.0,0.51,1.3
Macarrao trigo cru com ovos,100,370.57,10.32,0.52,1.97
Milho fuba cru,100,353.48,7.21,0.56,1.9
Milho verde cru,100,138.17,6.59,0.71,0.61
Milho verde enlatado drenado,100,97.56,3.23,1.06,2.35
Mingau tradicional po,100,373.42,0.58,1.57,0.37
Pamonha barra para cozimento pre-cozida,100,171.22,2.55,0.61,4.85
Pao aveia forma,100,343.09,12.35,2.47,5.69
Pao de soja,100,308.73,11.34,2.53,3.58
Pao gluten forma,100,252.99,11.95,0.53,2.73
Pao milho forma,100,292.01,8.3,1.77,3.11
Pao trigo forma integral,100,253.19,9.43,2.26,3.65
Pao trigo frances,100,299.81,7.95,1.81,3.1
Pao trigo sovado,100,310.96,8.4,1.55,2.84
Pastel de carne cru,100,288.7,10.74,4.05,8.79
Pastel de carne frito,100,388.37,10.1,3.07,20.14
Pastel de queijo cru,100,308.47,9.85,3.28,9.63
Pastel de queijo frito,100,422.11,8.71,2.95,22.67
Pastel massa crua,100,310.2,6.9,3.17,5.48
Pastel massa frita,100,569.67,6.02,2.81,40.86
Pipoca com oleo de soja sem sal,100,448.33,9.93,1.0,15.94
Polenta pre-cozida,100,102.74,2.29,1.35,0.3
Torrada pao frances,100,377.42,10.52,2.57,3.3
Abobora cabotian cozida,100,48.04,1.44,0.71,0.73
Abobora cabotian crua,100,38.6,1.75,0.84,0.54
Abobora moranga crua,100,12.36,0.96,0.44,0.06
Abobora moranga refogada,100,29.0,0.39,0.37,0.8
Abobora pescoco crua,100,24.47,0.67,0.6,0.12
Abobrinha italiana cozida,100,15.04,1.12,0.42,0.2
Abobrinha italiana crua,100,19.28,1.14,0.56,0.14
Abobrinha italiana refogada,100,24.43,1.07,0.43,0.82
Abobrinha paulista crua,100,30.81,0.64,0.5,0.14
Acelga crua,100,20.94,1.44,0.63,0.11
Agriao cru,100,16.58,2.69,0.88,0.24
Aipo cru,100,19.09,0.76,1.07,0.07
Alface americana crua,100,8.79,0.61,0.35,0.13
Alface crespa crua,100,10.68,1.35,0.7,0.16
Alface lisa crua,100,13.82,1.69,0.76,0.12
Alface roxa crua,100,12.72,0.91,0.68,0.19
Alfavaca crua,100,29.18,2.66,1.42,0.48
Alho cru,100,113.13,7.01,1.32,0.22
Alho-poro cru,100,31.51,1.41,0.62,0.14
Almeirao cru,100,18.03,1.77,1.01,0.22
Almeirao refogado,100,65.08,1.7,1.2,4.85
Batata baroa cozida,100,80.12,0.85,0.77,0.17
Batata baroa crua,100,100.98,1.05,1.11,0.17
Batata doce cozida,100,76.76,0.64,0.42,0.09
Batata doce crua,100,118.24,1.26,0.9,0.13
Batata frita tipo chips industrializada,100,542.73,5.58,3.88,36.62
Batata inglesa frita,100,267.16,4.97,2.16,13.11
Batata inglesa saute,100,67.89,1.29,0.63,0.9
Berinjela cozida,100,18.85,0.68,0.27,0.15
Berinjela crua,100,19.63,1.22,0.45,0.1
Beterraba cozida,100,32.15,1.29,0.81,0.09
